合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
CF909,13:53:49.0,13330,309174,13325,90,13330,35,410080,4.12129e+09
CF909,13:53:50.500,13330,309174,13325,91,13330,35,410080,4.12129e+09
