合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
cs1909,13:53:43.500,2346,65302,2345,239,2346,169,159312,1.53048e+09
cs1909,13:53:50.500,2346,65302,2345,239,2346,170,159312,1.53048e+09
